domain,method,accuracy,f1,precision,recall,auc
lightbox,random,0.49918361288407304,0.4930889423076923,0.49175906502846867,0.49442603193733053,0.5
synthetic val,supervised,0.7602339181286549,0.33410672853828305,0.21207658321060383,0.7868852459016393,0.8497131827202785
lightbox,supervised,0.697491465043788,0.7205922676172196,0.6611320754716982,0.7918047604700211,0.7875358923417506
sunlamp,random,0.6178686759956943,0.7462473195139385,0.7467811158798283,0.7457142857142857,0.5
sunlamp,supervised,0.7047003946896304,0.8009673518742443,0.8137592137592138,0.7885714285714286,0.7102987454079157
